TIME,EVENT,DETAIL
2026.09.17 14:10:47,EXT_HIT,2026.09.17 14:08:00 extreme=4339.69
2026.09.17 14:10:48,PB_CONFIRM,2026.09.17 14:08:00 R=3.39
2026.09.17 14:10:48,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 14:10:59,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4338.32
2026.09.17 14:19:32,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 14:19:32,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 14:29:32,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 14:29:32,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 14:39:24,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 14:39:24,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 17:08:00,SIGNAL,BULL R=5.61 ext=4380.44
2026.09.17 17:40:00,SIGNAL,BEAR R=4.14 ext=4357.15
2026.09.17 17:53:36,EXT_HIT,2026.09.17 17:38:00 extreme=4357.05
2026.09.17 17:53:41,PB_CONFIRM,2026.09.17 17:38:00 R=4.14
2026.09.17 17:53:41,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 17:54:00,SIGNAL,BEAR R=4.99 ext=4351.37
2026.09.17 18:00:36,EXT_HIT,2026.09.17 17:52:00 extreme=4351.26
2026.09.17 18:00:37,PB_CONFIRM,2026.09.17 17:52:00 R=4.99
2026.09.17 18:00:37,ORDER_SENT_NO_POSITION,retcode=10009
