strategy,entry_time,entry_price,exit_time,exit_price,dir,volume,r_realized,gross_pnl,commission,net_pnl,reason,entry_path,entry_dt,exit_dt,hold_hours
007_symfastconfirm,1736478196,2671.25,1736478269,2671.1549999999997,-1,0.01,0.25000000000059835,0.09500000000025466,0.15,-0.054999999999745336,LOCK,mechanical,2025-01-10 03:03:16+00:00,2025-01-10 03:04:29+00:00,0.020277777777777777
007_symfastconfirm,1736478735,2671.43,1736478806,2671.02,-1,0.01,1.0,0.4099999999998545,0.15,0.25999999999985446,PARTIAL_TP,mechanical,2025-01-10 03:12:15+00:00,2025-01-10 03:13:26+00:00,0.01972222222222222
007_symfastconfirm,1736478735,2671.43,1736478858,2670.621,-1,0.01,1.9731707317073874,0.8089999999997417,0.15,0.6589999999997417,TP,mechanical,2025-01-10 03:12:15+00:00,2025-01-10 03:14:18+00:00,0.034166666666666665
007_symfastconfirm,1736479200,2670.47,1736479230,2670.621,-1,0.02,-0.3682926829276787,-0.30200000000058935,0.3,-0.6020000000005894,TP,fast,2025-01-10 03:20:00+00:00,2025-01-10 03:20:30+00:00,0.008333333333333333
007_symfastconfirm,1736480400,2670.57,1736480438,2670.5809999999997,-1,0.02,-0.009909909909469593,-0.02199999999902502,0.3,-0.321999999999025,TP,fast,2025-01-10 03:40:00+00:00,2025-01-10 03:40:38+00:00,0.010555555555555556
007_symfastconfirm,1736482724,2672.98,1736482887,2672.7025,-1,0.02,0.2500000000001024,0.555000000000291,0.3,0.25500000000029105,LOCK,mechanical,2025-01-10 04:18:44+00:00,2025-01-10 04:21:27+00:00,0.04527777777777778
007_symfastconfirm,1736483141,2674.11,1736483979,2673.75,-1,0.02,0.25000000000007894,0.7200000000002547,0.3,0.42000000000025467,LOCK,mechanical,2025-01-10 04:25:41+00:00,2025-01-10 04:39:39+00:00,0.23277777777777778
007_symfastconfirm,1736487042,2674.73,1736487114,2674.55,-1,0.02,0.2499999999998421,0.3599999999996726,0.3,0.05999999999967259,LOCK,mechanical,2025-01-10 05:30:42+00:00,2025-01-10 05:31:54+00:00,0.02
007_symfastconfirm,1736497200,2675.03,1736497349,2675.81,-1,0.02,-2.0,-1.5599999999994907,0.3,-1.8599999999994907,SL,fast,2025-01-10 08:20:00+00:00,2025-01-10 08:22:29+00:00,0.04138888888888889
007_symfastconfirm,1736497363,2675.94,1736497417,2675.53,-1,0.01,1.0512820512820213,0.4099999999998545,0.15,0.25999999999985446,PARTIAL_TP,mechanical,2025-01-10 08:22:43+00:00,2025-01-10 08:23:37+00:00,0.015
007_symfastconfirm,1736497363,2675.94,1736497540,2675.8425,-1,0.01,0.24999999999970848,0.09749999999985448,0.15,-0.052500000000145514,LOCK,mechanical,2025-01-10 08:22:43+00:00,2025-01-10 08:25:40+00:00,0.049166666666666664
007_symfastconfirm,1736497927,2676.03,1736497958,2675.61,-1,0.01,1.0243902439029802,0.42000000000007276,0.15,0.27000000000007274,PARTIAL_TP,mechanical,2025-01-10 08:32:07+00:00,2025-01-10 08:32:38+00:00,0.008611111111111111
007_symfastconfirm,1736497927,2676.03,1736498000,2675.9275000000002,-1,0.01,0.25,0.10249999999996362,0.15,-0.047500000000036374,LOCK,mechanical,2025-01-10 08:32:07+00:00,2025-01-10 08:33:20+00:00,0.020277777777777777
